image_url,sound_url,place_country_name,place_admin1_name,place_admin2_name,scientific_name
https://inaturalist-open-data.s3.amazonaws.com/photos/155081346/medium.jpeg,,France,Languedoc-Roussillon,Gard,Plecotus austriacus
https://static.inaturalist.org/photos/156237535/medium.jpeg,,France,Bretagne,Côtes-d'Armor,Myotis emarginatus
https://static.inaturalist.org/photos/155824910/medium.jpeg,,France,Rhône-Alpes,Isère,Myotis emarginatus
https://static.inaturalist.org/photos/157697392/medium.jpg,,France,Bourgogne,Saône-et-Loire,Eptesicus serotinus
https://inaturalist-open-data.s3.amazonaws.com/photos/158082170/medium.jpg,,France,Rhône-Alpes,Ardèche,Barbastella barbastellus
https://static.inaturalist.org/photos/159055905/medium.jpeg,,France,Bretagne,Ille-et-Vilaine,Myotis emarginatus
https://inaturalist-open-data.s3.amazonaws.com/photos/159078486/medium.jpeg,,France,Provence-Alpes-Côte d'Azur,Alpes-de-Haute-Provence,Barbastella barbastellus
https://inaturalist-open-data.s3.amazonaws.com/photos/159160052/medium.jpeg,,France,Provence-Alpes-Côte d'Azur,Alpes-de-Haute-Provence,Hypsugo savii
https://inaturalist-open-data.s3.amazonaws.com/photos/159921544/medium.jpeg,,France,Midi-Pyrénées,Tarn,Rhinolophus ferrumequinum
https://inaturalist-open-data.s3.amazonaws.com/photos/160739839/medium.jpg,,France,Rhône-Alpes,Drôme,Plecotus auritus
https://inaturalist-open-data.s3.amazonaws.com/photos/160820683/medium.jpg,,France,Bretagne,Côtes-d'Armor,Eptesicus serotinus
https://inaturalist-open-data.s3.amazonaws.com/photos/162509080/medium.jpeg,,France,Centre,Loiret,Myotis emarginatus
https://static.inaturalist.org/photos/163156485/medium.jpg,,France,Aquitaine,Landes,Barbastella barbastellus
https://static.inaturalist.org/photos/163156502/medium.jpg,,France,Aquitaine,Landes,Rhinolophus ferrumequinum
https://inaturalist-open-data.s3.amazonaws.com/photos/163959723/medium.jpeg,,France,Poitou-Charentes,Charente-Maritime,Myotis daubentonii
https://static.inaturalist.org/photos/165786959/medium.jpg,,France,Languedoc-Roussillon,Hérault,Hypsugo savii
https://inaturalist-open-data.s3.amazonaws.com/photos/166558086/medium.jpeg,,France,Limousin,Haute-Vienne,Rhinolophus hipposideros
https://inaturalist-open-data.s3.amazonaws.com/photos/166565284/medium.jpeg,,France,Languedoc-Roussillon,Hérault,Rhinolophus euryale
https://inaturalist-open-data.s3.amazonaws.com/photos/166565188/medium.jpeg,,France,Languedoc-Roussillon,Hérault,Rhinolophus ferrumequinum
https://inaturalist-open-data.s3.amazonaws.com/photos/166565396/medium.jpeg,,France,Languedoc-Roussillon,Hérault,Myotis nattereri
https://inaturalist-open-data.s3.amazonaws.com/photos/167322052/medium.jpg,,France,Midi-Pyrénées,Aveyron,Rhinolophus hipposideros
https://inaturalist-open-data.s3.amazonaws.com/photos/168389752/medium.jpeg,,France,Midi-Pyrénées,Aveyron,Myotis bechsteinii
https://inaturalist-open-data.s3.amazonaws.com/photos/168719992/medium.jpg,,France,Provence-Alpes-Côte d'Azur,Alpes-de-Haute-Provence,Hypsugo savii
https://static.inaturalist.org/photos/168942470/medium.jpg,,France,Languedoc-Roussillon,Hérault,Rhinolophus hipposideros
https://inaturalist-open-data.s3.amazonaws.com/photos/169872931/medium.png,,France,Languedoc-Roussillon,Gard,Myotis daubentonii
https://inaturalist-open-data.s3.amazonaws.com/photos/169873556/medium.png,,France,Languedoc-Roussillon,Gard,Pipistrellus nathusii
https://inaturalist-open-data.s3.amazonaws.com/photos/169873911/medium.png,,France,Languedoc-Roussillon,Gard,Pipistrellus pygmaeus
https://inaturalist-open-data.s3.amazonaws.com/photos/169875845/medium.png,,France,Midi-Pyrénées,Aveyron,Pipistrellus kuhlii
https://inaturalist-open-data.s3.amazonaws.com/photos/169876003/medium.png,,France,Midi-Pyrénées,Aveyron,Nyctalus leisleri
https://inaturalist-open-data.s3.amazonaws.com/photos/169876122/medium.png,,France,Midi-Pyrénées,Aveyron,Rhinolophus hipposideros
https://inaturalist-open-data.s3.amazonaws.com/photos/169985834/medium.jpg,,France,Poitou-Charentes,Charente,Barbastella barbastellus
https://inaturalist-open-data.s3.amazonaws.com/photos/170559348/medium.jpeg,,France,Languedoc-Roussillon,Hérault,Myotis emarginatus
https://inaturalist-open-data.s3.amazonaws.com/photos/170559393/medium.jpeg,,France,Languedoc-Roussillon,Hérault,Miniopterus schreibersii
https://inaturalist-open-data.s3.amazonaws.com/photos/170559394/medium.jpeg,,France,Languedoc-Roussillon,Hérault,Plecotus austriacus
https://inaturalist-open-data.s3.amazonaws.com/photos/170559407/medium.jpeg,,France,Languedoc-Roussillon,Hérault,Myotis capaccinii
https://inaturalist-open-data.s3.amazonaws.com/photos/170623989/medium.jpeg,,France,Languedoc-Roussillon,Gard,Miniopterus schreibersii
https://inaturalist-open-data.s3.amazonaws.com/photos/170627585/medium.jpeg,,France,Languedoc-Roussillon,Gard,Plecotus austriacus
https://inaturalist-open-data.s3.amazonaws.com/photos/170840652/medium.jpeg,,France,Languedoc-Roussillon,Hérault,Pipistrellus pipistrellus
https://inaturalist-open-data.s3.amazonaws.com/photos/170840952/medium.jpeg,,France,Languedoc-Roussillon,Hérault,Pipistrellus pygmaeus
https://inaturalist-open-data.s3.amazonaws.com/photos/171882598/medium.jpeg,,France,Aquitaine,Dordogne,Rhinolophus hipposideros
https://inaturalist-open-data.s3.amazonaws.com/photos/172306655/medium.png,,France,Midi-Pyrénées,Gers,Pipistrellus kuhlii
https://inaturalist-open-data.s3.amazonaws.com/photos/172308290/medium.png,https://static.inaturalist.org/sounds/337321.wav?1639423546,France,Midi-Pyrénées,Gers,Pipistrellus pipistrellus
https://inaturalist-open-data.s3.amazonaws.com/photos/172309007/medium.png,,France,Midi-Pyrénées,Gers,Rhinolophus hipposideros
https://inaturalist-open-data.s3.amazonaws.com/photos/172980532/medium.jpg,,France,Provence-Alpes-Côte d'Azur,Vaucluse,Rhinolophus hipposideros
https://inaturalist-open-data.s3.amazonaws.com/photos/173272769/medium.jpeg,,France,Pays de la Loire,Sarthe,Barbastella barbastellus
https://inaturalist-open-data.s3.amazonaws.com/photos/173272947/medium.jpeg,,France,Pays de la Loire,Sarthe,Barbastella barbastellus
https://static.inaturalist.org/photos/173977601/medium.jpg,,France,Pays de la Loire,Maine-et-Loire,Rhinolophus hipposideros
https://static.inaturalist.org/photos/173977926/medium.jpg,,France,Pays de la Loire,Maine-et-Loire,Eptesicus serotinus
https://inaturalist-open-data.s3.amazonaws.com/photos/173990163/medium.jpeg,,France,Lorraine,Vosges,Barbastella barbastellus
https://inaturalist-open-data.s3.amazonaws.com/photos/173990732/medium.jpeg,,France,Lorraine,Vosges,Myotis myotis
https://inaturalist-open-data.s3.amazonaws.com/photos/173990753/medium.jpeg,,France,Île-de-France,Seine-et-Marne,Rhinolophus ferrumequinum
https://inaturalist-open-data.s3.amazonaws.com/photos/173991570/medium.jpeg,,France,Lorraine,Vosges,Myotis nattereri
https://inaturalist-open-data.s3.amazonaws.com/photos/174138887/medium.jpeg,,France,Aquitaine,Dordogne,Rhinolophus hipposideros
https://inaturalist-open-data.s3.amazonaws.com/photos/174817014/medium.jpg,,France,Midi-Pyrénées,Gers,Rhinolophus ferrumequinum
https://inaturalist-open-data.s3.amazonaws.com/photos/174855909/medium.jpeg,,France,Île-de-France,Seine-et-Marne,Barbastella barbastellus
https://inaturalist-open-data.s3.amazonaws.com/photos/174855975/medium.jpeg,,France,Lorraine,Meurthe-et-Moselle,Rhinolophus hipposideros
https://inaturalist-open-data.s3.amazonaws.com/photos/174857681/medium.jpeg,,France,Corse,Haute-Corse,Myotis punicus
https://inaturalist-open-data.s3.amazonaws.com/photos/174967939/medium.jpeg,,France,Languedoc-Roussillon,Hérault,Plecotus austriacus
https://inaturalist-open-data.s3.amazonaws.com/photos/174979373/medium.jpeg,,France,Provence-Alpes-Côte d'Azur,Hautes-Alpes,Myotis mystacinus
https://static.inaturalist.org/photos/175376254/medium.jpg,,France,Pays de la Loire,Maine-et-Loire,Rhinolophus ferrumequinum
https://static.inaturalist.org/photos/175376293/medium.jpg,,France,Pays de la Loire,Maine-et-Loire,Rhinolophus hipposideros
https://inaturalist-open-data.s3.amazonaws.com/photos/175396932/medium.jpeg,,France,Languedoc-Roussillon,Hérault,Rhinolophus hipposideros
https://inaturalist-open-data.s3.amazonaws.com/photos/175397134/medium.jpeg,,France,Languedoc-Roussillon,Hérault,Rhinolophus ferrumequinum
https://inaturalist-open-data.s3.amazonaws.com/photos/176012828/medium.jpg,,France,Languedoc-Roussillon,Hérault,Rhinolophus ferrumequinum
https://inaturalist-open-data.s3.amazonaws.com/photos/176259796/medium.jpeg,,France,Rhône-Alpes,Ardèche,Rhinolophus hipposideros
https://inaturalist-open-data.s3.amazonaws.com/photos/176260122/medium.jpeg,,France,Rhône-Alpes,Ardèche,Rhinolophus ferrumequinum
https://inaturalist-open-data.s3.amazonaws.com/photos/176260608/medium.jpeg,,France,Rhône-Alpes,Ardèche,Rhinolophus ferrumequinum
https://inaturalist-open-data.s3.amazonaws.com/photos/176791291/medium.jpeg,,France,Languedoc-Roussillon,Hérault,Rhinolophus ferrumequinum
https://inaturalist-open-data.s3.amazonaws.com/photos/176791317/medium.jpeg,,France,Languedoc-Roussillon,Hérault,Rhinolophus euryale
https://static.inaturalist.org/photos/176926800/medium.jpg,,France,Languedoc-Roussillon,Hérault,Rhinolophus hipposideros
https://inaturalist-open-data.s3.amazonaws.com/photos/177082165/medium.jpeg,,France,Provence-Alpes-Côte d'Azur,Vaucluse,Myotis emarginatus
https://static.inaturalist.org/photos/177730053/medium.jpg,,France,Provence-Alpes-Côte d'Azur,Var,Hypsugo savii
https://inaturalist-open-data.s3.amazonaws.com/photos/177842739/medium.jpeg,,France,Languedoc-Roussillon,Gard,Miniopterus schreibersii
https://static.inaturalist.org/photos/178362980/medium.jpeg,,France,Bretagne,Ille-et-Vilaine,Rhinolophus ferrumequinum
